START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
09-06-19,7:10 PM,8:10 PM,Cubs at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,9-6-19,9-6-19,10:10 PM,11:10 PM,FALSE,TRUE,9-6-19,6:10 PM,7:10 PM,FREE,BUSY
09-07-19,6:10 PM,7:10 PM,Cubs at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,9-7-19,9-7-19,9:10 PM,10:10 PM,FALSE,TRUE,9-7-19,5:10 PM,6:10 PM,FREE,BUSY
09-08-19,1:10 PM,2:10 PM,Cubs at Brewers,Miller Park - Milwaukee,Local TV: FSWI- WYTU ----- Local Radio: WTMJ 620,9-8-19,9-8-19,4:10 PM,5:10 PM,FALSE,TRUE,9-8-19,12:10 PM,1:10 PM,FREE,BUSY
09-16-19,6:40 PM,7:40 PM,Padres at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,9-16-19,9-16-19,9:40 PM,10:40 PM,FALSE,TRUE,9-16-19,5:40 PM,6:40 PM,FREE,BUSY
09-17-19,6:40 PM,7:40 PM,Padres at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,9-17-19,9-17-19,9:40 PM,10:40 PM,FALSE,TRUE,9-17-19,5:40 PM,6:40 PM,FREE,BUSY
09-18-19,6:40 PM,7:40 PM,Padres at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,9-18-19,9-18-19,9:40 PM,10:40 PM,FALSE,TRUE,9-18-19,5:40 PM,6:40 PM,FREE,BUSY
09-19-19,3:10 PM,4:10 PM,Padres at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,9-19-19,9-19-19,6:10 PM,7:10 PM,FALSE,TRUE,9-19-19,2:10 PM,3:10 PM,FREE,BUSY
09-20-19,7:10 PM,8:10 PM,Pirates at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,9-20-19,9-20-19,10:10 PM,11:10 PM,FALSE,TRUE,9-20-19,6:10 PM,7:10 PM,FREE,BUSY
09-21-19,6:10 PM,7:10 PM,Pirates at Brewers,Miller Park - Milwaukee,Local TV: FSWI ----- Local Radio: WTMJ 620,9-21-19,9-21-19,9:10 PM,10:10 PM,FALSE,TRUE,9-21-19,5:10 PM,6:10 PM,FREE,BUSY
09-22-19,1:10 PM,2:10 PM,Pirates at Brewers,Miller Park - Milwaukee,Local TV: FSWI- WYTU ----- Local Radio: WTMJ 620,9-22-19,9-22-19,4:10 PM,5:10 PM,FALSE,TRUE,9-22-19,12:10 PM,1:10 PM,FREE,BUSY
